id	title	expected_path
2025	לוועידת הייסוד של ההסתדרות	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m2025.html
2838	נקדם פני הרעה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m2838.html
2905	מכתבים לרוני	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p14/m2905.html
4395	לרומאן רולאן	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4395.html
4408	לא"י רופין	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4408.html
4461	לק"ס סטניסלאבסקי	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4461.html
4490	אגרת לאנטול פראנס	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4490.html
4527	אגרות לא"פ צ'כוב	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4527.html
4558	אגרות לשלום-עליכם	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4558.html
4576	לפסנתרן דוברובאֶן	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4576.html
4701	מצוות הלשון	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p8/m4701.html
5202	אל תיעזב הגולה לנפשה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m5202.html
5709	אגרת למועצת מפלגת פועלי ארץ־ישראל	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m5709.html
5792	מכתב לנציב העליון על חוק־הקרקעות	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m5792.html
6308	מכתב למפקד הצבאי הגנרל היינינג	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m6308.html
7726	מכתב גלוי למשרד הברית העולמית של פועלי-ציון	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m7726.html
10909	אגרות	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p393/m10909.html
13230	מכתבים למשוררת צעירה: מכתבי אברהם שלונסקי לצילה שמיר	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p372/m13230.html
24080	כנס הסופרים הבינלאומי, 1962	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24080.html
24081	בין ב.ג. ויזהר: משה שרת ושתיקת הכבשים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24081.html
24082	מכתב לעדה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24082.html
24083	מכתב מארגנטינה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24083.html
24084	תשובה לדניאל כהנמן	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24084.html
24556	האהבה השורפת (מכתב לחבקין)	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24556.html
24586	אִגְרוֹת "מֵאֵין-שָׁם": אגרות אחרונות של יהודים מארצות השלטון הנאצי	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p375/m24586.html
24817	מכתב לדוֹד	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p172/m24817.html
24871	מכתבים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p647/m24871.html
26001	חיי נייר: 1909–1919 – עשר שנות געגוע ומכתבים: יפו־דווינסק־יפו	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p916/m26001.html
26607	הגדודים העבריים: אגרות	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p959/m26607.html
28150	מכתבים מהמלחמה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p101/m28150.html
28861	לא יכול להיות שונה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p1031/m28861.html
28874	מכתב לאוניברסיטה העברית	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p172/m28874.html
29193	אגרות הפקידים והאמרכלים מאמשטרדם: כרך א	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p151/m29193.html
32106	חליפת איגרות בין ש"י אברמוביץ ובין ח"נ ביאליק וי"ח רבניצקי בשנים 1905–1908	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p1363/m32106.html
35687	מכתב מרקס לאנגלס, כהקדמה ל"בן־אחיו של ראמו"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p1821/m35687.html
35979	לכבוד נשיא מדינת ישראל, מר יצחק בן־צבי	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m35979.html
35980	למר י. רוקח, שר־הפנים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m35980.html
35981	לשר־הפנים מר י. רוקח	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m35981.html
35982	הסתדרות הציונים הכלליים בישראל	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m35982.html
35983	למר פ. ברנשטיין!	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m35983.html
35984	למרכז מפלגת פועלי א"י.	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m35984.html
35985	דברי־פרידה לעם	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m35985.html
35986	איגרת: לחיילים ולחיילות בצבא־הגנה לישראל, ביבשה, באוויר ובים.	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m35986.html
43334	איגרות - כרך א (1895-1897)	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p133/m43334.html
49693	אל הגברת על שפת הים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49693.html
49694	אל ד"ר גרשון לוין	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49694.html
49695	אל י. י. טרונק	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49695.html
49696	לד"ר יצחק געליבטער	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49696.html
49735	אל ג.י. ליכטנפלד	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49735.html
49736	אל הכלה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49736.html
49737	מכתב אל ידיד	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49737.html
49773	הרעיה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49773.html
49774	אל ח. נ. ביאליק	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49774.html
49775	אל יהואש, ניו־יורק	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49775.html
49776	אל ה. ד. נומברג	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49776.html
49777	אל יצחק גוידא (ב. גורין)	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49777.html
49778	אל א. ווייטער	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49778.html
49779	אל דוד ברגלסון	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49779.html
49780	אל ראובן אשר ברוידס	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49780.html
49781	אל מנדלי מוכר ספרים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49781.html
49782	אל ד"ר נתן בירנבוים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49782.html
49783	אל י. צינברג	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49783.html
49784	אל דוד פאלק	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49784.html
49785	אל רוזה יאקובוביץ'	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49785.html
49786	אל יעקב צוזמר	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49786.html
49787	אל י. י. פּרופּוס	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49787.html
49815	מכתבים אל הבן	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49815.html
49816	אל יעקב דינזון	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m49816.html
49964	חילופי־מכתבים בין ישראל כהן ובין ש"י עגנון ודוד בן־גוריון	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p174/m49964.html
50057	אל שלום עליכם	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m50057.html
50058	אל ש. אנ־סקי	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m50058.html
50059	אל דוד פינסקי	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m50059.html
50060	אל ש. ניגר	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p155/m50060.html
50066	בֵּן לוּ הָיָה לִי...	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p2808/m50066.html
50137	מכתב בעניין "הבאלאדה על תלויים עשרה"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p372/m50137.html
50570	מכתבים לבנים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p2835/m50570.html
53842	באור הבוקר	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53842.html
53843	בוא ונשב על הספסל	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53843.html
53844	מאסף סופרי ארץ ישראל:[א. השירים]	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53844.html
53845	מאסף סופרי ארץ־ישראל:  [ב. הסיפּוּרים ]	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53845.html
53846	מאסף סופרי ארץ־ישראל:  [ג. עוד כמה דברים ]	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53846.html
53847	כאשר נשׂתכּל בעולם הזה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53847.html
53848	געגועים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53848.html
53849	"ואריאציות על האביב"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53849.html
53850	"בצל הדורות"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53850.html
53851	עם קריאה שניה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53851.html
53852	"מיכל בת־שאול"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53852.html
53853	אשה קטנה שהיא אמן גדול	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53853.html
53854	אריה שאג	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53854.html
53855	"משהו על רישול ואי־דיוּק"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53855.html
53856	התנצלוּת ומשל להועיל	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53856.html
53858	מזלם של ספרים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53858.html
53859	החוברת בעטיפה הכחולה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53859.html
53860	"יומן הגבעה"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53860.html
53861	דברים כפשוטם	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53861.html
53862	מעשה בבן-מלך	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53862.html
53863	פרק אָל"ף של "מגילת האש"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53863.html
53864	שיר אחד ותרגומים ארבעה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53864.html
53865	שיחה על השיר "ביום קיץ, יום חום"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p192/m53865.html
54041	מתוך מעטפות	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p1114/m54041.html
54806	מכתבים מארץ־ישראל: "אימצתי את כל הווייתי לקראת בשורה"	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3199/m54806.html
56036	למר אלטמן האלמוני	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3229/m56036.html
59233	פנטסיה 2000 – גיליון 6: מכתבי קוראים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3806/m59233.html
59836	פנטסיה 2000 – גיליון 8: מכתבי קוראים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3806/m59836.html
60492	פנטסיה 2000 – גיליון 3: מכתבי קוראים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3806/m60492.html
61160	פנטסיה 2000 – גיליון 2: מכתבי קוראים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3806/m61160.html
61448	חליפת מכתבים בין אנטונן ארטו לז'אק ריווייר	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3819/m61448.html
62189	פנטסיה 2000 – גיליון 4: מכתבי קוראים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3806/m62189.html
62602	מכתבים: אמילי דיקינסון	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3858/m62602.html
62786	פנטסיה 2000 – גיליון 7: מכתבי קוראים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3806/m62786.html
62882	מכתבים מאבא	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p1051/m62882.html
63215	פנטסיה 2000 – גיליון 9: מכתבי קוראים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p3806/m63215.html